date,salinity,precip_in
2025-04-16,12.017708333333333,0.0
2025-04-17,12.377083333333333,0.0
2025-04-18,14.571875,0.0
2025-04-19,14.716666666666667,0.0
2025-04-20,13.12736842105263,0.0
2025-04-21,15.371739130434783,0.0
2025-04-22,15.441666666666668,0.0
2025-04-23,16.0,0.0
2025-04-24,16.974999999999998,0.0
2025-04-25,19.278125,0.0
2025-04-26,21.046315789473685,0.82
2025-04-27,18.7625,0.0
2025-04-28,18.15268817204301,0.0
2025-04-29,19.140625,0.0
2025-04-30,17.838461538461537,0.0
2025-05-01,17.049473684210525,0.0
2025-05-02,17.79578947368421,0.0
2025-05-03,16.872826086956522,0.95
2025-05-04,14.955208333333333,0.15
2025-05-05,14.228125,0.74
2025-05-06,11.665263157894737,0.24
2025-05-07,9.464583333333334,0.02
2025-05-08,8.286458333333334,0.0
2025-05-09,8.827368421052633,0.69
2025-05-10,7.2631578947368425,0.0
2025-05-11,6.572631578947369,0.0
2025-05-12,6.236458333333334,0.0
2025-05-13,7.471875,0.16
2025-05-14,9.496703296703297,1.22
2025-05-15,9.763541666666667,0.0
2025-05-16,10.446315789473683,0.11
2025-05-17,11.809473684210527,0.0
2025-05-18,10.9625,0.0
2025-05-19,11.072916666666666,0.0
2025-05-20,13.051578947368421,0.0
2025-05-21,14.94367816091954,0.09
2025-05-22,16.377894736842105,0.9
2025-05-23,15.211458333333333,0.26
2025-05-24,19.4,0.0
2025-05-25,16.40625,0.0
2025-05-26,17.201041666666665,0.0
2025-05-27,17.212500000000002,0.0
2025-05-28,17.496875,0.49
2025-05-29,17.633695652173913,0.1
2025-05-30,18.095833333333335,0.0
2025-05-31,17.277659574468085,0.46
2025-06-01,12.742708333333333,0.0
2025-06-02,11.65,0.0
2025-06-03,11.313186813186814,0.0
2025-06-04,11.125,0.0
2025-06-05,11.917021276595746,0.0
2025-06-06,13.102083333333333,0.02
2025-06-07,14.213541666666666,0.7
2025-06-08,12.8375,0.0
2025-06-09,12.336842105263157,0.01
2025-06-10,12.81578947368421,0.4
2025-06-11,12.55684210526316,0.0
2025-06-12,12.90989010989011,0.0
2025-06-13,13.560416666666667,0.0
2025-06-14,15.298958333333333,0.23
2025-06-15,16.140625,0.03
2025-06-16,15.782291666666666,0.15
2025-06-17,15.926041666666668,0.02
2025-06-18,16.021052631578947,0.03
2025-06-19,16.095833333333335,0.65
2025-06-20,15.941489361702128,0.0
2025-06-21,16.154166666666665,0.0
2025-06-22,17.251041666666666,0.1
2025-06-23,17.720833333333335,0.0
2025-06-24,19.6,0.0
2025-06-25,18.168817204301074,0.0
2025-06-26,19.263440860215052,0.0
2025-06-27,20.287499999999998,0.07
2025-06-28,19.533333333333335,0.05
2025-06-29,19.18,0.0
2025-06-30,18.40625,0.0
2025-07-01,18.802105263157895,0.43
2025-07-02,17.833333333333332,0.03
2025-07-03,17.220833333333335,0.0
2025-07-04,16.748421052631578,0.0
2025-07-05,16.765625,0.0
2025-07-06,17.978125000000002,0.0
2025-07-07,19.650000000000002,0.0
2025-07-08,19.7031914893617,0.09
2025-07-09,19.471875,0.05
2025-07-10,20.655208333333334,0.18
2025-07-11,21.150000000000002,0.0
2025-07-12,21.77916666666667,0.0
2025-07-13,22.137634408602153,0.0
2025-07-14,22.353125000000002,2.64
2025-07-15,21.175789473684212,0.0
2025-07-16,21.088541666666668,0.0
2025-07-17,21.54421052631579,0.0
2025-07-18,20.426041666666666,0.0
2025-07-19,20.83125,0.0
2025-07-20,22.087500000000002,0.0
2025-07-21,21.847916666666666,0.0
2025-07-22,22.09166666666667,0.0
2025-07-23,22.603157894736842,0.0
2025-07-24,23.202083333333334,0.0
2025-07-25,24.5,0.01
2025-07-26,22.996875,0.0
2025-07-27,23.757291666666664,0.0
2025-07-28,23.157894736842106,0.0
2025-07-29,22.461052631578948,0.0
2025-07-30,22.023958333333336,0.28
2025-07-31,21.227659574468085,0.32
2025-08-01,20.6375,0.0
2025-08-02,19.6125,0.0
2025-08-03,18.82842105263158,0.0
2025-08-04,19.415625000000002,0.0
2025-08-05,19.313541666666666,0.0
2025-08-06,20.318749999999998,0.06
2025-08-07,21.269565217391303,0.0
2025-08-08,21.729166666666668,0.0
2025-08-09,22.385416666666668,0.0
2025-08-10,22.83157894736842,0.0
2025-08-11,23.12708333333333,0.0
2025-08-12,23.130851063829788,0.0
2025-08-13,23.540000000000003,0.71
2025-08-14,23.32604166666667,0.0
2025-08-15,22.730208333333334,0.0
2025-08-16,22.93541666666667,0.0
2025-08-17,23.176041666666666,0.66
2025-08-18,22.257291666666664,0.0
2025-08-19,23.4875,0.0
2025-08-20,23.88854166666667,0.51
2025-08-21,24.15212765957447,0.27
2025-08-22,24.261458333333334,0.0
2025-08-23,23.830851063829787,0.0
2025-08-24,23.732631578947366,0.0
2025-08-25,22.1,0.0
2025-08-26,23.09578947368421,0.0
2025-08-27,22.321875000000002,0.0
2025-08-28,22.292708333333334,0.0
2025-08-29,23.099999999999998,0.0
2025-08-30,21.805208333333336,0.0
2025-08-31,21.693749999999998,0.0
2025-09-01,21.108333333333334,0.0
2025-09-02,21.654255319148938,0.0
2025-09-03,21.595698924731185,0.0
2025-09-04,22.803124999999998,0.4
2025-09-05,23.076595744680848,0.17
2025-09-06,22.841052631578947,1.01
2025-09-07,21.926041666666666,0.63
2025-09-08,22.348958333333332,0.0
2025-09-09,22.844791666666666,0.0
2025-09-10,23.279787234042555,0.08
2025-09-11,23.751578947368422,0.0
2025-09-12,23.56382978723404,0.0
2025-09-13,23.827659574468086,0.0
2025-09-14,23.579166666666666,0.0
2025-09-15,22.70104166666667,0.0
2025-09-16,23.121052631578948,0.0
2025-09-17,23.49578947368421,0.0
2025-09-18,23.35684210526316,0.01
2025-09-19,23.45,0.0
2025-09-20,23.78333333333333,0.0
2025-09-21,24.112631578947365,0.0
2025-09-22,24.118947368421054,0.0
2025-09-23,24.188541666666666,0.0
2025-09-24,23.946875000000002,0.08
2025-09-25,21.3,0.27
2025-09-26,23.0625,0.0
2025-09-27,22.01354166666667,0.01
2025-09-28,22.402105263157893,0.1
2025-09-29,21.095698924731185,0.0
2025-09-30,21.028125,0.0
2025-10-01,21.85698924731183,0.0
2025-10-02,21.769791666666666,0.0
